user_id,item_count,rating_sum,average
1,63,243,3.857142857142857
2,0,0,
3,0,0,
4,0,0,
5,77,230,2.987012987012987
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,22,84,3.8181818181818183
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,94,396,4.212765957446808
11,0,0,
12,0,0,
1,40,130,3.25
2,0,0,
3,0,0,
4,0,0,
5,14,39,2.7857142857142856
6,0,0,
7,0,0,
8,30,108,3.6
9,0,0,
10,0,0,
11,0,0,
12,25,107,4.28
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,107,387,3.616822429906542
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,3,7,2.3333333333333335
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,12,50,4.166666666666667
10,0,0,
11,0,0,
12,0,0,
1,5,18,3.6
2,34,131,3.8529411764705883
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,3,12,4.0
2,6,21,3.5
3,28,84,3.0
4,0,0,
5,0,0,
6,0,0,
7,0,0,
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
1,0,0,
2,0,0,
3,0,0,
4,14,61,4.357142857142857
5,0,0,
6,0,0,
7,212,826,3.8962264150943398
8,0,0,
9,0,0,
10,0,0,
11,105,371,3.533333333333333
12,0,0,
1,0,0,
2,0,0,
3,0,0,
4,0,0,
5,0,0,
6,0,0,
7,1,3,3.0
8,0,0,
9,0,0,
10,0,0,
11,0,0,
12,0,0,
